# 逐字稿 2026-04-22
# 來源音檔：錄製 (2).m4a

[00:00] 所有的AI模型都是這些預訓內的
[01:31:14] 可以前一拖
[01:31:16] 前一拖就行
[01:31:18] 我找
[01:31:20] 對
[01:31:22] 好
[01:31:24] 我們先這樣子
[01:31:26] 大家先回去
[01:31:28] 看一看
[01:31:30] 玩一玩
[01:31:32] 我們下週再去討論
[01:31:34] OK
[01:31:36] 各位
[01:31:38] 我們再來
[01:31:40] 變作可以看
[01:31:42] 到底要拿什麼東西
[01:31:44] 來當我們的期末發掘
[01:31:46] 我是覺得都可以
[01:31:48] 我覺得各種怎樣的東西都可以
[01:31:50] 回到
[01:31:52] 這個
[01:31:54] 希望
[01:31:56] 但是你
[01:31:58] 那個什麼我覺得其他也不行
[01:32:02] 我們就看一下
[01:32:04] 以外大家的報告
[01:32:06] 再來自備
[01:32:08] 但是我覺得我們的框架
[01:32:10] 就是說其實現在的
[01:32:12] 不管是語言
[01:32:14] 模型然後應用
[01:32:16] 然後這些東西到底
[01:32:18] 做一些有趣的東西
[01:32:20] 這些我們的想法
[01:32:22] 我們稍後再說
[01:32:24] 我們再回到早期
[01:32:26] 我們再回到早期
[01:32:28] 我們再回到早期
[01:32:30] 我們再回到早期
[01:32:32] 我們再回到早期
